geoName,Value
Abilene-Sweetwater TX,71
Albany GA,53
Albany-Schenectady-Troy NY,75
Albuquerque-Santa Fe NM,87
Alexandria LA,60
Alpena MI,92
Amarillo TX,70
Anchorage AK,79
Atlanta GA,67
Augusta GA,57
Austin TX,81
Bakersfield CA,69
Baltimore MD,75
Bangor ME,81
Baton Rouge LA,68
Beaumont-Port Arthur TX,60
Bend OR,87
"Billings, MT",85
Biloxi-Gulfport MS,63
Binghamton NY,70
Birmingham AL,64
Bluefield-Beckley-Oak Hill WV,59
Boise ID,84
Boston MA-Manchester NH,76
Bowling Green KY,59
Buffalo NY,69
Burlington VT-Plattsburgh NY,88
Butte-Bozeman MT,84
Casper-Riverton WY,76
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,72
Champaign & Springfield-Decatur IL,76
Charleston SC,71
Charleston-Huntington WV,65
Charlotte NC,65
Charlottesville VA,80
Chattanooga TN,68
Cheyenne WY-Scottsbluff NE,67
Chicago IL,83
Chico-Redding CA,80
Cincinnati OH,75
Clarksburg-Weston WV,57
Cleveland-Akron (Canton) OH,77
Colorado Springs-Pueblo CO,78
Columbia SC,68
Columbia-Jefferson City MO,76
Columbus GA,60
Columbus OH,75
Columbus-Tupelo-West Point MS,64
Corpus Christi TX,66
Dallas-Ft. Worth TX,70
Davenport IA-Rock Island-Moline IL,71
Dayton OH,70
Denver CO,86
Des Moines-Ames IA,73
Detroit MI,94
Dothan AL,59
Duluth MN-Superior WI,77
El Paso TX,65
Elmira NY,66
Erie PA,71
Eugene OR,91
Eureka CA,100
Evansville IN,68
Fairbanks AK,79
Fargo-Valley City ND,69
Flint-Saginaw-Bay City MI,90
Florence-Myrtle Beach SC,58
Fresno-Visalia CA,69
Ft. Myers-Naples FL,77
Ft. Smith-Fayetteville-Springdale-Rogers AR,78
Ft. Wayne IN,78
Gainesville FL,73
Glendive MT,71
Grand Junction-Montrose CO,78
Grand Rapids-Kalamazoo-Battle Creek MI,96
Great Falls MT,79
Green Bay-Appleton WI,77
Greensboro-High Point-Winston Salem NC,65
Greenville-New Bern-Washington NC,62
Greenville-Spartanburg SC-Asheville NC-Anderson SC,75
Greenwood-Greenville MS,53
Harlingen-Weslaco-Brownsville-McAllen TX,56
Harrisburg-Lancaster-Lebanon-York PA,70
Harrisonburg VA,74
Hartford & New Haven CT,78
Hattiesburg-Laurel MS,58
Helena MT,74
Honolulu HI,82
Houston TX,65
Huntsville-Decatur (Florence) AL,67
Idaho Falls-Pocatello ID,91
Indianapolis IN,76
Jackson MS,60
Jackson TN,59
Jacksonville FL,65
Johnstown-Altoona PA,64
Jonesboro AR,70
Joplin MO-Pittsburg KS,73
Juneau AK,90
Kansas City MO,76
Knoxville TN,64
La Crosse-Eau Claire WI,73
Lafayette IN,70
Lafayette LA,63
Lake Charles LA,56
Lansing MI,96
Laredo TX,57
Las Vegas NV,66
Lexington KY,69
Lima OH,60
Lincoln & Hastings-Kearney NE,77
Little Rock-Pine Bluff AR,67
Los Angeles CA,81
Louisville KY,74
Lubbock TX,69
Macon GA,57
Madison WI,77
Mankato MN,73
Marquette MI,82
Medford-Klamath Falls OR,81
Memphis TN,61
Meridian MS,64
Miami-Ft. Lauderdale FL,77
Milwaukee WI,79
Minneapolis-St. Paul MN,82
Minot-Bismarck-Dickinson(Williston) ND,69
Missoula MT,90
Mobile AL-Pensacola (Ft. Walton Beach) FL,67
Monroe LA-El Dorado AR,60
Monterey-Salinas CA,92
Montgomery (Selma) AL,59
Nashville TN,65
New Orleans LA,72
New York NY,85
Norfolk-Portsmouth-Newport News VA,65
North Platte NE,60
Odessa-Midland TX,57
Oklahoma City OK,72
Omaha NE,70
Orlando-Daytona Beach-Melbourne FL,68
Ottumwa IA-Kirksville MO,74
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,64
Palm Springs CA,99
Panama City FL,64
Parkersburg WV,61
Peoria-Bloomington IL,72
Philadelphia PA,76
Phoenix AZ,75
Pittsburgh PA,67
Portland OR,98
Portland-Auburn ME,86
Presque Isle ME,66
Providence RI-New Bedford MA,76
Quincy IL-Hannibal MO-Keokuk IA,64
Raleigh-Durham (Fayetteville) NC,73
Rapid City SD,75
Reno NV,79
Richmond-Petersburg VA,74
Roanoke-Lynchburg VA,67
Rochester MN-Mason City IA-Austin MN,69
Rochester NY,73
Rockford IL,74
Sacramento-Stockton-Modesto CA,74
Salisbury MD,66
Salt Lake City UT,83
San Angelo TX,74
San Antonio TX,70
San Diego CA,79
San Francisco-Oakland-San Jose CA,83
Santa Barbara-Santa Maria-San Luis Obispo CA,91
Savannah GA,77
Seattle-Tacoma WA,84
Sherman TX-Ada OK,64
Shreveport LA,64
Sioux City IA,71
Sioux Falls(Mitchell) SD,70
South Bend-Elkhart IN,80
Spokane WA,79
Springfield MO,73
Springfield-Holyoke MA,78
St. Joseph MO,69
St. Louis MO,75
Syracuse NY,71
Tallahassee FL-Thomasville GA,68
Tampa-St. Petersburg (Sarasota) FL,71
Terre Haute IN,65
Toledo OH,91
Topeka KS,78
Traverse City-Cadillac MI,91
Tri-Cities TN-VA,60
Tucson (Sierra Vista) AZ,82
Tulsa OK,66
Twin Falls ID,74
Tyler-Longview(Lufkin & Nacogdoches) TX,67
Utica NY,72
Victoria TX,60
Waco-Temple-Bryan TX,67
Washington DC (Hagerstown MD),79
Watertown NY,62
Wausau-Rhinelander WI,74
West Palm Beach-Ft. Pierce FL,80
Wheeling WV-Steubenville OH,57
Wichita Falls TX & Lawton OK,69
Wichita-Hutchinson KS,76
Wilkes Barre-Scranton PA,65
Wilmington NC,73
Yakima-Pasco-Richland-Kennewick WA,69
Youngstown OH,65
Yuma AZ-El Centro CA,59
Zanesville OH,60
