,query,value
0,kevin abstract,100
1,painting abstract,72
2,painting,71
3,art,37
4,abstract art,34
5,neverland,27
6,neverland abstract,27
7,acrylic painting,18
8,kevin abstract empty,14
9,empty,14
10,human abstract,12
11,brockhampton,12
12,kevin abstract peach,10
13,the human abstract,10
14,i do this,10
15,abstract i do this,9
16,abstract 22,9
17,abstract algebra,9
18,22,8
19,abstract art painting,7
20,painting tutorial,7
21,love abstract,7
22,how to paint,7
23,abstract music,7
24,abstract video,7
